110003 69184-33-4 41.49 1.0 2.0 1.128 3.0 4.0 2
110005 89621-27-2 45.15 1.0 2.0 0.084 1.0 4.0 2
110006 64154-87-6 29.1 1.0 2.0 0.476 2.0 4.0 1
110007 42166-50-7 50.94 1.0 2.0 -0.476 3.0 4.0 2
110008 19847-12-2 49.57 0.0 2.0 -0.67 3.0 4.0 0
110009 251-41-2 56.48 0.0 2.0 1.814 0.0 4.0 0
110010 3748-84-3 12.89 0.0 2.0 1.852 1.0 4.0 0
110011 27301-66-2 15.79 2.0 2.0 2.159 1.0 4.0 1
110012 18436-82-3 29.1 0.0 2.0 0.002 2.0 4.0 1
110013 104777-74-4 29.1 1.0 2.0 0.111 2.0 4.0 1
110014 4208-57-5 30.21 3.0 2.0 1.421 1.0 4.0 0
110015 6029-70-5 3.24 0.0 2.0 0.758 1.0 4.0 0
110016 90198-94-0 45.53 1.0 2.0 1.435 1.0 4.0 1
110017 101253-17-2 29.1 2.0 2.0 1.481 2.0 4.0 1
110018 110018 27.09 1.0 2.0 1.82 2.0 4.0 1
110019 408509-64-8 27.03 2.0 2.0 0.513 2.0 4.0 0
110020 87787-09-5 38.69 1.0 2.0 1.139 3.0 4.0 1
110021 99176-23-5 44.48 2.0 2.0 1.035 3.0 4.0 1
110022 89368-01-4 12.53 2.0 2.0 2.225 1.0 4.0 0
110023 18245-08-4 9.23 3.0 2.0 3.316 1.0 4.0 0
110025 503-86-6 67.48 0.0 2.0 -0.38 4.0 4.0 2
110026 37444-46-5 46.01 1.0 2.0 -0.782 3.0 4.0 1
110027 110027 38.66 0.0 2.0 -0.065 3.0 4.0 0
110028 27427-90-3 42.85 1.0 2.0 0.144 3.0 4.0 0
110029 40675-18-1 55.45 0.0 2.0 -0.715 3.0 4.0 1
110030 110030 12.36 1.0 2.0 2.141 1.0 4.0 0
110031 7216-42-4 42.53 1.0 2.0 1.441 1.0 4.0 0
110032 98547-23-0 33.02 1.0 2.0 -0.269 2.0 4.0 0
110033 110033 54.77 0.0 2.0 0.002 1.0 4.0 1
110034 110034 21.7 1.0 2.0 0.839 3.0 4.0 0
110035 98429-54-0 79.15 1.0 2.0 -0.859 5.0 4.0 3
110036 15012-77-8 13.14 3.0 2.0 2.844 0.0 4.0 0
110037 26963-33-7 28.24 3.0 2.0 3.209 0.0 4.0 0
110038 110038 33.02 1.0 2.0 0.59 2.0 4.0 0
110039 110039 68.15 4.0 2.0 -1.74 5.0 4.0 2
110040 57133-56-9 38.69 2.0 2.0 1.102 3.0 4.0 1
110041 63917-43-1 38.69 1.0 2.0 1.204 3.0 4.0 1
110042 110042 38.69 1.0 2.0 1.324 3.0 4.0 1
110043 97202-99-8 27.69 2.0 2.0 1.426 3.0 4.0 0
110044 17144-64-8 44.48 0.0 2.0 1.257 3.0 4.0 1
110045 19837-65-1 38.69 1.0 2.0 1.476 3.0 4.0 1
